DATE ARRET;CDGI;QUARTIER;TYPE DE VOIE;PREFIXE de VOIE;NOM de VOIE;Libellé VOIE;CVOIE;HISTORIQUE;LARGEUR;LONG;DETAIL;ARRONDISSEMENT;STATUT PRESUME;DEBUT;FIN
1864-02-03T00:53:28+00:53;4166;Roquette.;rue;;gerbier;rue Gerbier;4112;"Orig. du nom. ~ Pierre Jean Baptiste Gerbier (1725-1788), avocat ; quartier où ont été groupés des noms de juristes.";13.0;174.0;"Ouverture et alignements (non retenus au POS et non repris au PLU). ~ Déc. du 11 juillet 1860. Déc. du 17 mars 1903, raccordement, du côté impair, avec la rue de la Roquette.
Nivellement. ~ Déc. du 17 mars 1903.
Dénomination. ~ Déc. du 2 mars 1864.";XIe;voie publique;rue de la Folie-Regnault, 15.;rue de la Roquette, 168 bis.
;4994;Saint-Ambroise.;cité;;joly;cité Joly;4886;Orig. du nom. ~ M. Joly, propriétaire.;12.0;135.0;Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 11 janvier 1966.;XIe;voie publique;rue du Chemin Vert, 121.;en impasse
;5441;Saint-Ambroise.;rue;;léchevin;rue Léchevin;5376;"Orig. du nom. ~ M. Léchevin, propriétaire.
Historique. ~ Avant 1942 : passage Léchevin. La partie de ce passage qui débouchait rue Saint-Ambroise a été absorbée par l'avenue Parmentier.";15.0;73.0;Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 25 janvier 1972.;XIe;voie publique;avenue Parmentier, 64.;passage Saint-Ambroise, 9 bis.
;8208;Folie-Méricourt. Saint-Ambroise. Roquette.;boulevard;;richard lenoir;boulevard Richard Lenoir;8197;"Orig. du nom. ~ François Richard (1765-1839), manufacturier d'étoffes. A la mort de son associé, Joseph Lenoir-Dufresne (1768-1806), il adopta partiellement son nom en souvenir de la firme qu'ils avaient menée en commun et s'appela désormais, François Richard-Lenoir ; quartier de fabriques.
Historique. ~ Cette voie qui recouvre le canal Saint-Martin a englobé une partie des quais de Valmy (précédemment quai Louis XVIII) et de Jemmapes (précédemment quai Charles X). La couverture du canal et la suppression des quais, entre la place de la Bastille et la rue Rampon, ont été approuvées par décret du 30 avril 1859.";60.0;1500.0;"Alignements (non retenus au POS et non repris au PLU). ~ Ord. du 20 février 1825. Cette ordonnance approuve la modification du tracé du canal Saint-Martin. Déc. du 2 octobre 1872, raccordement du côté pair avec la place de la Bastille.
Numérotage. ~ Arr. du 5 avril 1875.";XIe;voie publique;boulevard Beaumarchais, 2 et place de la Bastille, 14.;avenue de la République, 22, rue Rampon et place Darno Maffini.
1885-10-11T00:53:28+00:53;9057;Saint-Ambroise.;rue;;spinoza;rue Spinoza;8671;Orig. du nom. ~ Baruch Spinoza (1632-1677), philosophe hollandais.;12.0;77.0;"Ouverture, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Déc. du 6 juillet 1882 (UP).
Numérotage. ~ Arr. du 1er décembre 1908.
Dénomination. ~ Arr. du 10 novembre 1885.";XIe;voie publique;avenue de la République, 103.;boulevard de Ménilmontant, 81.
;4865;Quinze-Vingts.;rue;;jean bouton;rue Jean Bouton;4775;"Orig. du nom. ~ M. Jean Bouton, propriétaire.
Historique. ~ Dénommée impasse Jean Bouton avant 1929. Elle existait à la fin du XVIIIe siècle. La partie en impasse au-delà de la rue Guillaumot a été englobée dans la rue Paul-Henri Grauwin.";13.0;98.0;"Classement, alignements (retenus au PAZ de la Zac ""Chalon"" et non repris au PLU) et nivellement. ~ Arr. mun. du 26 juillet 1994.";XIIe;voie publique;boulevard Diderot, 30, place Henri Frenay et rue Hector Malot.;Rue Paul-Henri Grauwin, 22.
;2320;Quinze-Vingts.;avenue;de;corbera;avenue de Corbera;2321;"Orig. du nom. ~ Nom de propriétaire.
Historique. ~ Précédemment, passage Guillaumot Lainet ; plus anciennement, passage Guillaumot.";15.0;102.0;Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 9 juin 1931.;XIIe;voie publique;rue de Charenton, 131-135.;rue Crozatier, 11-17.
1965-05-05T01:00:00+01:00;6844;Bel Air.;rue;de la;nouvelle-calédonie;rue de la Nouvelle-Calédonie;6787;"Orig. du nom. ~ Ile de la Mélanésie ; territoire d'outre-mer.
Historique. ~ Ouverte par la Ville de Paris sur l'emplacement du bastion 7. Elle avait été provisoirement dénommée F/12.";20.0;120.0;Dénomination. ~ Arr. du 5 mai 1965.;XIIe;voie publique;boulevard Soult, 20.;rue du Général Archinard, avenue du Général Messimy et place Antoine Furetière.
;R530;Picpus.;avenue;des;canadiens;avenue des Canadiens;Z530;"Orig. du nom. ~ Un hôpital militaire accueillant principalement des Canadiens blessés pendant la Grande Guerre y était installé.
Historique. ~ Le premier tronçon était situé sur les territoires de Joinville-le-Pont et de Saint-Maurice annexés à Paris par décret du 18 avril 1929, partie de la RN 4. Le second était précédemment dénommé Chemin des Corbeaux avant 1918.
Site classé. ~ Le bois de Vincennes a été classé comme site par décret du 22 novembre 1960.";10.0;660.0;Observation. ~ Le premier tronçon est situé dans le bois de Vincennes. Les trottoirs, côté Saint-Maurice et Joinville, sont sur les territoires desdites communes. Une partie des trottoirs de la rive nord du second tronçon est sur le territoire de Paris.;XIIe;voie publique;1° tronçon: situé le long de la limite de Paris avec Joinville-le-Pont et Saint-Maurice, entre l'avenue de Gravelle et le retour de la limite de Paris située à l'intersection de l'avenue des Canadiens avec la route de la Pyramide (bois de Vincennes);2° tronçon: situé entre la rue du Maréchal Leclerc (Saint-Maurice) et l'avenue Saint-Maurice du Valais (Saint-Maurice).
1911-03-21T01:00:00+01:00;2904;Picpus.;avenue;;dorian;avenue Dorian;2927;"Orig. du nom. ~ Pierre Frédéric Dorian (1814-1873), manufacturier et homme politique français.
Historique. ~ Précédemment rue Dorian (déc. du 25 janvier 1881). Ouverte par la Ville de Paris.";40.0;80.0;"Classement. ~ Déc. du 23 septembre 1881.
Alignements (non retenus au POS et non repris au PLU). ~ Déc. du 23 septembre 1881. Arr. du 5 février 1968, pan coupé, côté impair, à l'angle de la rue de Picpus, côté impair.
Nivellement. ~ Déc. du 23 septembre 1881.
Numérotage. ~ Arr. du 10 février 1881.
Dénomination. ~ Arr. du 21 mars 1911.";XIIe;voie publique;rue de Picpus, 9.;place de la Nation, 4.
;X302;Picpus.;voie;;h/12;voie H/12;Y302;;1.0;40.0;;XIIe;voie privée;rue de Charenton, 301.;en impasse.
1889-01-25T00:53:28+00:53;6484;Bel Air.;rue;;montéra;rue Montéra;6413;"Orig. du nom. ~ Nom de propriétaire.
Historique. ~ Cette voie paraît indiquée à l'état de sentier sur le plan de Roussel (1730). La partie comprise entre le chemin de fer de Ceinture et le boulevard Soult était précédemment comprise dans la rue des Quatre Bornes. Précédemment impasse Montéra entre l'avenue de Saint-Mandé et le chemin de fer de Ceinture.";12.0;250.0;"Classement dans la voirie parisienne. ~ Déc. du 23 mai 1863. Précédemment voie de la commune de Saint-Mandé.
Alignements (retenus au POS et non repris au PLU). ~ Arr. préf. du 15 février 1932, au droit des nos 1 à 15 et 2 à 12. Arr. préf. du 9 août 1963, au droit des nos 17, 19 et 14.
Alignements (non retenus au POS et non repris au PLU). ~ Arr. du 9 août 1963 entre les nos 15 et 12 et la rue du Gabon (B) sauf au droit des nos 17, 19 et 14. Arr. des 30 août 1853 et 5 octobre 1857, partie C, côté impair. Déc. du 20 avril 1928, partie C, côté pair et pan coupé, côté impair, à l'angle du boulevard Soult.
Nivellement. ~ Arr. du 15 février 1932, partie A (entre l'avenue de Saint-Mandé et les nos 15 et 12 inclus). Arr. du 9 août 1963, partie B (entre les nos 15 et 12 et la rue du Gabon). Déc. du 20 avril 1928, partie C (le surplus).
Dénomination. ~ Déc. du 27 février 1867, entre le chemin de fer de Ceinture et le boulevard Soult. Arr. du 25 janvier 1889, entre l'avenue de Saint-Mandé et le chemin de fer de Ceinture.";XIIe;voie publique;avenue de Saint-Mandé, 83.;boulevard Soult, 133.
;8037;Bercy. Quinze-Vingts.;quai;de la;rapée;quai de la Rapée;8048;"Orig. du nom. ~ Ancien fief de la Rapée.
Historique. ~ La partie A a été élargie à 31 et 44 m de 1962 à 1967, puis en 1994 par emprise sur le port de la Rapée, pour permettre la construction de la voie Georges Pompidou et du pont Charles de Gaulle.";19.0;890.0;"Observation. ~ La partie comprise entre le quai de Bercy et la rue Traversière (A) constitue un élément de la voie Georges Pompidou.
Déclassement. ~ Arr. mun. du 23 février 1984 en sur-sol au droit des nos 2 à 8.
Alignements (non retenus au POS et non repris au PLU). ~ Ord. du 6 mai 1827, sauf au droit des nos 58 à 62 et 68, partie régie par l'arr. du 24 novembre 1972 (UP) relatif à l'ouverture de la rue Van Gogh..
Numérotage. ~ Arr. du 2 juillet 1850.";XIIe;voie publique;quai de Bercy, 240.;boulevard de la Bastille, 2.
1972-07-04T01:00:00+01:00;2216;Picpus.;rue;du;colonel rozanoff;rue du Colonel Rozanoff;2226;"Orig. du nom. ~ Constantin Rozanoff (1905-1954), aviateur, pilote d'essai.
Historique. ~ Ouverte lors de la rénovation de l'îlot Saint-Eloi. Elle avait été provisoirement dénommée AE/12.";12.0;220.0;"Ouverture. ~ Ouverte en 1971.
Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 9 août 1972.
Numérotage. ~ Arr. du 7 avril 1972.
Dénomination. ~ Arr. du 7 avril 1972.";XIIe;voie publique;rue de Reuilly, 42.;rue de Reuilly, 32.
;R700;Bel Air.;route;des;sabotiers;route des Sabotiers;Z700;"Historique. ~ Située autrefois sur le territoire de Vincennes annexé à Paris par décret du 18 avril 1929.
Site classé. ~ Le bois de Vincennes a été classé comme site par décret du 22 novembre 1960.";13.0;430.0;Observation. ~ Située dans le bois de Vincennes.;XIIe;voie publique;carrefour de la Pyramide.;avenue de Nogent.
