PRENOM;SEXE;ANNEE_NAISSANCE;OCCURRENCE;VILLE
LOUISE;F;2012;70;Nantes
MANON;F;2012;60;Nantes
CHLOÉ;F;2012;48;Nantes
JEANNE;F;2012;48;Nantes
ALICE;F;2012;47;Nantes
CAMILLE;F;2012;45;Nantes
EMMA;F;2012;45;Nantes
LÉA;F;2012;45;Nantes
ROMANE;F;2012;44;Nantes
INÈS;F;2012;43;Nantes
JULIETTE;F;2012;43;Nantes
JADE;F;2012;42;Nantes
LÉONIE;F;2012;35;Nantes
LOLA;F;2012;34;Nantes
ZOÉ;F;2012;34;Nantes
LILOU;F;2012;32;Nantes
SARAH;F;2012;28;Nantes
ANAÏS;F;2012;26;Nantes
ANNA;F;2012;26;Nantes
LÉNA;F;2012;26;Nantes
MARGOT;F;2012;26;Nantes
PAULINE;F;2012;26;Nantes
LINA;F;2012;25;Nantes
ADÈLE;F;2012;24;Nantes
CHARLOTTE;F;2012;24;Nantes
LOUNA;F;2012;24;Nantes
CLÉMENCE;F;2012;23;Nantes
ELISA;F;2012;23;Nantes
LUCIE;F;2012;23;Nantes
ROSE;F;2012;23;Nantes
AMBRE;F;2012;22;Nantes
NINA;F;2012;22;Nantes
LISE;F;2012;21;Nantes
AGATHE;F;2012;20;Nantes
ENORA;F;2012;20;Nantes
MAËLYS;F;2012;20;Nantes
MILA;F;2012;19;Nantes
SALOMÉ;F;2012;18;Nantes
CAPUCINE;F;2012;17;Nantes
CLARA;F;2012;17;Nantes
EVA;F;2012;17;Nantes
NINON;F;2012;17;Nantes
FAUSTINE;F;2012;16;Nantes
LILY;F;2012;16;Nantes
LISA;F;2012;16;Nantes
NORAH;F;2012;16;Nantes
LOU;F;2012;15;Nantes
MARGAUX;F;2012;15;Nantes
MATHILDE;F;2012;15;Nantes
SOLINE;F;2012;15;Nantes
APOLLINE;F;2012;14;Nantes
JOSÉPHINE;F;2012;14;Nantes
JULIA;F;2012;14;Nantes
THAÏS;F;2012;14;Nantes
ZÉLIE;F;2012;14;Nantes
INAYA;F;2012;13;Nantes
MARIE;F;2012;13;Nantes
ALICIA;F;2012;12;Nantes
ELISE;F;2012;12;Nantes
GABRIELLE;F;2012;12;Nantes
HÉLOÏSE;F;2012;12;Nantes
LEÏLA;F;2012;12;Nantes
LOUISON;F;2012;12;Nantes
MARION;F;2012;12;Nantes
NOÉMIE;F;2012;12;Nantes
OLIVIA;F;2012;12;Nantes
ANAËLLE;F;2012;11;Nantes
AXELLE;F;2012;11;Nantes
LAURA;F;2012;11;Nantes
LÉANA;F;2012;11;Nantes
LILWENN;F;2012;11;Nantes
LOUISA;F;2012;11;Nantes
VALENTINE;F;2012;11;Nantes
ALIX;F;2012;10;Nantes
BÉRÉNICE;F;2012;10;Nantes
ELOÏSE;F;2012;10;Nantes
ELSA;F;2012;10;Nantes
ENOLA;F;2012;10;Nantes
LANA;F;2012;10;Nantes
LISON;F;2012;10;Nantes
MÉLISSA;F;2012;10;Nantes
AMANDINE;F;2012;9;Nantes
ANAÉ;F;2012;9;Nantes
ASSIA;F;2012;9;Nantes
CLÉMENTINE;F;2012;9;Nantes
DIANE;F;2012;9;Nantes
LIA;F;2012;9;Nantes
LOUANE;F;2012;9;Nantes
LYA;F;2012;9;Nantes
MAYA;F;2012;9;Nantes
VIOLETTE;F;2012;9;Nantes
AYA;F;2012;8;Nantes
DAPHNÉ;F;2012;8;Nantes
FLAVIE;F;2012;8;Nantes
JULIE;F;2012;8;Nantes
JUSTINE;F;2012;8;Nantes
LILA;F;2012;8;Nantes
LUCILE;F;2012;8;Nantes
LYLOU;F;2012;8;Nantes
MAËLLE;F;2012;8;Nantes
MARILOU;F;2012;8;Nantes
SELMA;F;2012;8;Nantes
SOFIA;F;2012;8;Nantes
VICTOIRE;F;2012;8;Nantes
YASMINE;F;2012;8;Nantes
ALEXIA;F;2012;7;Nantes
ALIYA;F;2012;7;Nantes
ANOUK;F;2012;7;Nantes
CANDICE;F;2012;7;Nantes
CLOÉ;F;2012;7;Nantes
ÉLÉA;F;2012;7;Nantes
EMILIE;F;2012;7;Nantes
IZIA;F;2012;7;Nantes
LÉANE;F;2012;7;Nantes
LILI;F;2012;7;Nantes
MALOU;F;2012;7;Nantes
MARIA;F;2012;7;Nantes
MÉLINE;F;2012;7;Nantes
ROXANE;F;2012;7;Nantes
SARA;F;2012;7;Nantes
SHAYNA;F;2012;7;Nantes
SUZIE;F;2012;7;Nantes
VICTORIA;F;2012;7;Nantes
WENDY;F;2012;7;Nantes
ALYA;F;2012;6;Nantes
ALYSSA;F;2012;6;Nantes
AMEL;F;2012;6;Nantes
ANGÈLE;F;2012;6;Nantes
AURORE;F;2012;6;Nantes
BERTILLE;F;2012;6;Nantes
CÉLESTE;F;2012;6;Nantes
CONSTANCE;F;2012;6;Nantes
EDEN;F;2012;6;Nantes
ÉLISE;F;2012;6;Nantes
EMMY;F;2012;6;Nantes
ÉNORA;F;2012;6;Nantes
ESTHER;F;2012;6;Nantes
FLEUR;F;2012;6;Nantes
FLORA;F;2012;6;Nantes
JULINE;F;2012;6;Nantes
LILIA;F;2012;6;Nantes
MADELEINE;F;2012;6;Nantes
OCÉANE;F;2012;6;Nantes
LÉO;M;2012;64;Nantes
HUGO;M;2012;61;Nantes
LOUIS;M;2012;60;Nantes
LUCAS;M;2012;58;Nantes
JULES;M;2012;57;Nantes
CLÉMENT;M;2012;54;Nantes
ARTHUR;M;2012;53;Nantes
ENZO;M;2012;51;Nantes
SACHA;M;2012;49;Nantes
TIMÉO;M;2012;49;Nantes
GABRIEL;M;2012;42;Nantes
PAUL;M;2012;41;Nantes
ETHAN;M;2012;40;Nantes
RAPHAËL;M;2012;40;Nantes
TOM;M;2012;40;Nantes
BAPTISTE;M;2012;37;Nantes
VICTOR;M;2012;37;Nantes
MALO;M;2012;36;Nantes
YANIS;M;2012;36;Nantes
GABIN;M;2012;35;Nantes
NOLAN;M;2012;34;Nantes
THÉO;M;2012;34;Nantes
AXEL;M;2012;33;Nantes
MAËL;M;2012;33;Nantes
MARTIN;M;2012;33;Nantes
MATHÉO;M;2012;33;Nantes
NOÉ;M;2012;32;Nantes
ADAM;M;2012;31;Nantes
ROBIN;M;2012;31;Nantes
NOAH;M;2012;30;Nantes
MARIUS;M;2012;28;Nantes
MAXIME;M;2012;28;Nantes
NATHAN;M;2012;28;Nantes
EVAN;M;2012;27;Nantes
MATHIS;M;2012;26;Nantes
MAXENCE;M;2012;26;Nantes
SIMON;M;2012;26;Nantes
ANTOINE;M;2012;25;Nantes
ALEXIS;M;2012;24;Nantes
EWEN;M;2012;24;Nantes
NINO;M;2012;24;Nantes
PIERRE;M;2012;24;Nantes
THOMAS;M;2012;24;Nantes
ALEXANDRE;M;2012;23;Nantes
OSCAR;M;2012;23;Nantes
ELIOTT;M;2012;22;Nantes
GASPARD;M;2012;20;Nantes
LIAM;M;2012;18;Nantes
NOA;M;2012;18;Nantes
QUENTIN;M;2012;18;Nantes
ANATOLE;M;2012;17;Nantes
AUGUSTIN;M;2012;17;Nantes
CAMILLE;M;2012;17;Nantes
MATHYS;M;2012;17;Nantes
SASHA;M;2012;17;Nantes
TIAGO;M;2012;16;Nantes
NOAM;M;2012;15;Nantes
TITOUAN;M;2012;15;Nantes
RUBEN;M;2012;14;Nantes
SAMUEL;M;2012;14;Nantes
TIMOTHÉE;M;2012;14;Nantes
TRISTAN;M;2012;14;Nantes
ADRIEN;M;2012;13;Nantes
CHARLY;M;2012;13;Nantes
ESTEBAN;M;2012;13;Nantes
JOSHUA;M;2012;13;Nantes
LOUKA;M;2012;13;Nantes
LUCIEN;M;2012;13;Nantes
MARIN;M;2012;13;Nantes
SOAN;M;2012;13;Nantes
LENNY;M;2012;12;Nantes
OWEN;M;2012;12;Nantes
RAYAN;M;2012;12;Nantes
VALENTIN;M;2012;12;Nantes
AARON;M;2012;11;Nantes
AMAURY;M;2012;11;Nantes
ARMAND;M;2012;11;Nantes
LÉON;M;2012;11;Nantes
NAËL;M;2012;11;Nantes
PACÔME;M;2012;11;Nantes
ANIS;M;2012;10;Nantes
CÔME;M;2012;10;Nantes
DIEGO;M;2012;10;Nantes
ELIAS;M;2012;10;Nantes
LORIS;M;2012;10;Nantes
MATTÉO;M;2012;10;Nantes
MOHAMED;M;2012;10;Nantes
PABLO;M;2012;10;Nantes
ROMAIN;M;2012;10;Nantes
AMINE;M;2012;9;Nantes
BASILE;M;2012;9;Nantes
BENJAMIN;M;2012;9;Nantes
CORENTIN;M;2012;9;Nantes
EDEN;M;2012;9;Nantes
JEAN;M;2012;9;Nantes
KENZO;M;2012;9;Nantes
NOLANN;M;2012;9;Nantes
ABEL;M;2012;8;Nantes
ACHILLE;M;2012;8;Nantes
ANTONIN;M;2012;8;Nantes
CHARLIE;M;2012;8;Nantes
ISAAC;M;2012;8;Nantes
KAÏS;M;2012;8;Nantes
LILIAN;M;2012;8;Nantes
LORENZO;M;2012;8;Nantes
MILO;M;2012;8;Nantes
SOHAN;M;2012;8;Nantes
SWANN;M;2012;8;Nantes
TIMOTHÉ;M;2012;8;Nantes
WASSIM;M;2012;8;Nantes
ALBAN;M;2012;7;Nantes
ARMEL;M;2012;7;Nantes
EDOUARD;M;2012;7;Nantes
ELIOT;M;2012;7;Nantes
ELOUAN;M;2012;7;Nantes
JOSEPH;M;2012;7;Nantes
JULIAN;M;2012;7;Nantes
LÉOPOLD;M;2012;7;Nantes
LINO;M;2012;7;Nantes
LYAM;M;2012;7;Nantes
MARCEAU;M;2012;7;Nantes
MEHDI;M;2012;7;Nantes
MORGAN;M;2012;7;Nantes
NATHANAËL;M;2012;7;Nantes
RAFAEL;M;2012;7;Nantes
THIBAULT;M;2012;7;Nantes
WILLIAM;M;2012;7;Nantes
YACINE;M;2012;7;Nantes
ALEX;M;2012;6;Nantes
ANAS;M;2012;6;Nantes
ARSÈNE;M;2012;6;Nantes
AYOUB;M;2012;6;Nantes
BASTIEN;M;2012;6;Nantes
CHARLES;M;2012;6;Nantes
DAVID;M;2012;6;Nantes
EMILE;M;2012;6;Nantes
EWENN;M;2012;6;Nantes
GUILLAUME;M;2012;6;Nantes
HAMZA;M;2012;6;Nantes
HIPPOLYTE;M;2012;6;Nantes
ILAN;M;2012;6;Nantes
ILYÈS;M;2012;6;Nantes
LÉANDRE;M;2012;6;Nantes
LUBIN;M;2012;6;Nantes
MAMADOU;M;2012;6;Nantes
MAYRON;M;2012;6;Nantes
MILAN;M;2012;6;Nantes
NAÏM;M;2012;6;Nantes
NICOLAS;M;2012;6;Nantes
NOLHAN;M;2012;6;Nantes
RAYANE;M;2012;6;Nantes
EMMA;F;2011;65;Nantes
LOUISE;F;2011;61;Nantes
MANON;F;2011;60;Nantes
CHLOÉ;F;2011;53;Nantes
INÈS;F;2011;48;Nantes
LOLA;F;2011;43;Nantes
JEANNE;F;2011;42;Nantes
